"Datum";"VertrekHalteCode";"VertrekHalteNaam";"VertrekLat";"VertrekLon";"AantalReizen"
"8/29/2020 12:00:00 AM";"";"Overig";"";"";"1"
"9/28/2020 12:00:00 AM";"";"Overig";"";"";"5025"
"9/28/2020 12:00:00 AM";"[[ Onb";"[[ Onbekend ]]";"0.00000000";"0.00000000";"950"
"9/28/2020 12:00:00 AM";"00001";"Muiderpoortstation";"4.93287450";"52.36132700";"169"
"9/28/2020 12:00:00 AM";"00005";"Muiderpoortstation";"4.93280219";"52.36121887";"608"
"9/28/2020 12:00:00 AM";"00006";"Muiderpoortstation";"4.93368466";"52.36106048";"280"
"9/28/2020 12:00:00 AM";"00007";"Muiderpoortstation";"4.93356602";"52.36117686";"379"
"9/28/2020 12:00:00 AM";"00008";"Dapperstraat";"4.92977913";"52.36110836";"233"
"9/28/2020 12:00:00 AM";"00010";"Dapperstraat";"4.92891486";"52.36092527";"865"
"9/28/2020 12:00:00 AM";"00014";"Wijttenbachstraat";"4.92507537";"52.36027221";"68"
"9/28/2020 12:00:00 AM";"00017";"Linnaeusstraat";"4.92573745";"52.36013099";"522"
"9/28/2020 12:00:00 AM";"00018";"Diemerknoop";"5.00286153";"52.33537576";"67"
"9/28/2020 12:00:00 AM";"00019";"Diemerknoop";"5.00296377";"52.33543002";"124"
"9/28/2020 12:00:00 AM";"00020";"Beukenweg";"4.91674979";"52.35906203";"550"
"9/28/2020 12:00:00 AM";"00021";"Beukenweg";"4.91721293";"52.35829991";"294"
"9/28/2020 12:00:00 AM";"00023";"Beukenplein";"4.91809259";"52.35701816";"63"
"9/28/2020 12:00:00 AM";"00024";"Beukenplein";"4.91807544";"52.35725177";"236"
"9/28/2020 12:00:00 AM";"00029";"Oostpoort";"4.92719316";"52.35707185";"429"
"9/28/2020 12:00:00 AM";"00030";"Oostpoort";"4.92694026";"52.35739442";"385"
"9/28/2020 12:00:00 AM";"00039";"Hogeweg";"4.93084015";"52.35358075";"157"
"9/28/2020 12:00:00 AM";"00040";"Hogeweg";"4.93135765";"52.35321425";"123"
"9/28/2020 12:00:00 AM";"00041";"Maxwellstraat";"4.93019273";"52.34803283";"11"
"9/28/2020 12:00:00 AM";"00044";"Fizeaustraat";"4.92432897";"52.34597881";"45"
"9/28/2020 12:00:00 AM";"00046";"Fizeaustraat";"4.92463808";"52.34589015";"65"
"9/28/2020 12:00:00 AM";"00049";"Lorentzlaan";"4.93131020";"52.34640137";"16"
"9/28/2020 12:00:00 AM";"00051";"Pekelharingstraat";"4.93652909";"52.34551360";"31"
"9/28/2020 12:00:00 AM";"00052";"Pekelharingstraat";"4.93677583";"52.34578417";"42"
"9/28/2020 12:00:00 AM";"00053";"Kruislaan";"4.93967974";"52.34742196";"38"
"9/28/2020 12:00:00 AM";"00054";"Kruislaan";"4.93899299";"52.34712277";"14"
"9/28/2020 12:00:00 AM";"00055";"Linnaeusparkweg";"4.94154593";"52.34865133";"39"
"9/28/2020 12:00:00 AM";"00059";"Radioweg";"4.93945830";"52.35337100";"41"
"9/28/2020 12:00:00 AM";"00060";"Radioweg";"4.93979325";"52.35363291";"129"
"9/28/2020 12:00:00 AM";"00061";"Archimedesweg";"4.93965454";"52.35574450";"12"
"9/28/2020 12:00:00 AM";"00062";"Archimedesweg";"4.93987652";"52.35556558";"73"
