"Datum";"AankomstHalteCode";"AankomstHalteNaam";"AankomstLat";"AankomstLon";"AantalReizen"
"8/29/2020 12:00:00 AM";"";"Overig";"";"";"1"
"9/28/2020 12:00:00 AM";"";"Overig";"";"";"5477"
"9/28/2020 12:00:00 AM";"[[ Onb";"[[ Onbekend ]]";"0.00000000";"0.00000000";"9087"
"9/28/2020 12:00:00 AM";"00001";"Muiderpoortstation";"4.93287450";"52.36132700";"75"
"9/28/2020 12:00:00 AM";"00005";"Muiderpoortstation";"4.93280219";"52.36121887";"361"
"9/28/2020 12:00:00 AM";"00006";"Muiderpoortstation";"4.93368466";"52.36106048";"209"
"9/28/2020 12:00:00 AM";"00007";"Muiderpoortstation";"4.93356602";"52.36117686";"531"
"9/28/2020 12:00:00 AM";"00008";"Dapperstraat";"4.92977913";"52.36110836";"831"
"9/28/2020 12:00:00 AM";"00010";"Dapperstraat";"4.92891486";"52.36092527";"274"
"9/28/2020 12:00:00 AM";"00014";"Wijttenbachstraat";"4.92507537";"52.36027221";"162"
"9/28/2020 12:00:00 AM";"00017";"Linnaeusstraat";"4.92573745";"52.36013099";"159"
"9/28/2020 12:00:00 AM";"00018";"Diemerknoop";"5.00286153";"52.33537576";"71"
"9/28/2020 12:00:00 AM";"00019";"Diemerknoop";"5.00296377";"52.33543002";"75"
"9/28/2020 12:00:00 AM";"00020";"Beukenweg";"4.91674979";"52.35906203";"273"
"9/28/2020 12:00:00 AM";"00021";"Beukenweg";"4.91721293";"52.35829991";"488"
"9/28/2020 12:00:00 AM";"00023";"Beukenplein";"4.91809259";"52.35701816";"236"
"9/28/2020 12:00:00 AM";"00024";"Beukenplein";"4.91807544";"52.35725177";"51"
"9/28/2020 12:00:00 AM";"00029";"Oostpoort";"4.92719316";"52.35707185";"411"
"9/28/2020 12:00:00 AM";"00030";"Oostpoort";"4.92694026";"52.35739442";"371"
"9/28/2020 12:00:00 AM";"00039";"Hogeweg";"4.93084015";"52.35358075";"114"
"9/28/2020 12:00:00 AM";"00040";"Hogeweg";"4.93135765";"52.35321425";"161"
"9/28/2020 12:00:00 AM";"00041";"Maxwellstraat";"4.93019273";"52.34803283";"27"
"9/28/2020 12:00:00 AM";"00044";"Fizeaustraat";"4.92432897";"52.34597881";"61"
"9/28/2020 12:00:00 AM";"00046";"Fizeaustraat";"4.92463808";"52.34589015";"42"
"9/28/2020 12:00:00 AM";"00048";"Lorentzlaan";"4.93197648";"52.34582872";"24"
"9/28/2020 12:00:00 AM";"00051";"Pekelharingstraat";"4.93652909";"52.34551360";"50"
"9/28/2020 12:00:00 AM";"00052";"Pekelharingstraat";"4.93677583";"52.34578417";"29"
"9/28/2020 12:00:00 AM";"00053";"Kruislaan";"4.93967974";"52.34742196";"96"
"9/28/2020 12:00:00 AM";"00054";"Kruislaan";"4.93899299";"52.34712277";"12"
"9/28/2020 12:00:00 AM";"00059";"Radioweg";"4.93945830";"52.35337100";"137"
"9/28/2020 12:00:00 AM";"00060";"Radioweg";"4.93979325";"52.35363291";"49"
"9/28/2020 12:00:00 AM";"00061";"Archimedesweg";"4.93965454";"52.35574450";"49"
"9/28/2020 12:00:00 AM";"00062";"Archimedesweg";"4.93987652";"52.35556558";"14"
"9/28/2020 12:00:00 AM";"00065";"Hugo de Vrieslaan";"4.93487340";"52.35101676";"129"
"9/28/2020 12:00:00 AM";"00066";"Hugo de Vrieslaan";"4.93540468";"52.35073118";"48"
"9/28/2020 12:00:00 AM";"00070";"Kruislaan";"4.93993910";"52.34789929";"253"
"9/28/2020 12:00:00 AM";"00071";"Kruislaan";"4.94045564";"52.34761364";"26"
"9/28/2020 12:00:00 AM";"00074";"Brinkstraat";"4.94797289";"52.34285131";"228"
"9/28/2020 12:00:00 AM";"00076";"Brinkstraat";"4.94742604";"52.34324474";"31"
"9/28/2020 12:00:00 AM";"00079";"Zaaiersweg";"4.93840610";"52.33984947";"33"
"9/28/2020 12:00:00 AM";"00080";"Zaaiersweg";"4.93948574";"52.33900871";"42"
"9/28/2020 12:00:00 AM";"00113";"Dennenrode";"4.95124546";"52.32191297";"41"
"9/28/2020 12:00:00 AM";"00114";"Dennenrode";"4.95213839";"52.32209601";"155"
"9/28/2020 12:00:00 AM";"00116";"Station Ganzenhoef";"4.97272915";"52.32237665";"263"
"9/28/2020 12:00:00 AM";"00118";"Echtenstein";"4.95952116";"52.32463051";"69"
"9/28/2020 12:00:00 AM";"00119";"Echtenstein";"4.95972461";"52.32482898";"37"
"9/28/2020 12:00:00 AM";"00124";"Geldershoofd";"4.97091549";"52.32495876";"22"
"9/28/2020 12:00:00 AM";"00125";"Geldershoofd";"4.97088414";"52.32517435";"34"
"9/28/2020 12:00:00 AM";"00126";"Grubbehoeve";"4.97626815";"52.32352145";"48"
"9/28/2020 12:00:00 AM";"00127";"Grubbehoeve";"4.97765851";"52.32385882";"41"
"9/28/2020 12:00:00 AM";"00128";"Geerdinkhof";"4.98077720";"52.32287193";"58"
"9/28/2020 12:00:00 AM";"00129";"Geerdinkhof";"4.98025676";"52.32364309";"34"
"9/28/2020 12:00:00 AM";"00134";"Koornhorst";"4.98400929";"52.31907218";"198"
"9/28/2020 12:00:00 AM";"00135";"Koornhorst";"4.98396309";"52.31931470";"57"
"9/28/2020 12:00:00 AM";"00141";"Kraaienneststation";"4.97868390";"52.31603403";"377"
"9/28/2020 12:00:00 AM";"00144";"Kikkenstein";"4.97237050";"52.31680298";"74"
"9/28/2020 12:00:00 AM";"00145";"Kikkenstein";"4.97271326";"52.31621998";"194"
"9/28/2020 12:00:00 AM";"00146";"Gooioord";"4.96906535";"52.32048532";"103"
"9/28/2020 12:00:00 AM";"00147";"Gooioord";"4.96936376";"52.31994711";"141"
"9/28/2020 12:00:00 AM";"00150";"Tulastraat";"4.96535973";"52.31994189";"317"
"9/28/2020 12:00:00 AM";"00151";"Tulastraat";"4.96584458";"52.31985374";"450"
"9/28/2020 12:00:00 AM";"00152";"Florijn";"4.95859163";"52.31758973";"205"
"9/28/2020 12:00:00 AM";"00153";"Florijn";"4.95971907";"52.31778255";"276"
"9/28/2020 12:00:00 AM";"00157";"Dolingadreef";"4.94847023";"52.31925132";"88"
"9/28/2020 12:00:00 AM";"00158";"Dolingadreef";"4.94901581";"52.31895674";"127"
"9/28/2020 12:00:00 AM";"00167";"Hogevecht";"4.95956435";"52.30947729";"83"
"9/28/2020 12:00:00 AM";"00168";"Hogevecht";"4.95997517";"52.30945181";"44"
"9/28/2020 12:00:00 AM";"00169";"Huigenbos";"4.96076438";"52.30666844";"93"
"9/28/2020 12:00:00 AM";"00170";"Huigenbos";"4.96083553";"52.30689339";"15"
"9/28/2020 12:00:00 AM";"00171";"Maasdrielhof";"4.96483898";"52.30220714";"119"
"9/28/2020 12:00:00 AM";"00172";"Holendrechtplein";"4.96402882";"52.29952588";"223"
"9/28/2020 12:00:00 AM";"00174";"Maasdrielhof";"4.96548788";"52.30180501";"15"
"9/28/2020 12:00:00 AM";"00177";"Nelson Mandelapark";"4.96435995";"52.31095055";"26"
"9/28/2020 12:00:00 AM";"00178";"Nelson Mandelapark";"4.96403676";"52.31101231";"46"
"9/28/2020 12:00:00 AM";"00179";"Kelbergen";"4.97179997";"52.31351146";"153"
"9/28/2020 12:00:00 AM";"00180";"Kelbergen";"4.97143303";"52.31354612";"92"
"9/28/2020 12:00:00 AM";"00184";"Meernhof";"4.96784331";"52.29922490";"12"
"9/28/2020 12:00:00 AM";"00187";"Geinbrug";"5.01277616";"52.30448073";"16"
"9/28/2020 12:00:00 AM";"00197";"Annie Romeinplein";"4.97162041";"52.32173463";"509"
"9/28/2020 12:00:00 AM";"00198";"Annie Romeinplein";"4.96998049";"52.32143226";"66"
"9/28/2020 12:00:00 AM";"00199";"Station Ganzenhoef";"4.97329456";"52.32308866";"148"
"9/28/2020 12:00:00 AM";"00200";"Station Ganzenhoef";"4.97508507";"52.32297807";"69"
"9/28/2020 12:00:00 AM";"00205";"Station Holendrecht";"4.95865657";"52.29716971";"168"
"9/28/2020 12:00:00 AM";"00207";"Rhenenhof";"4.97082721";"52.29838160";"17"
"9/28/2020 12:00:00 AM";"00210";"Hakfort";"4.95541377";"52.30805113";"12"
"9/28/2020 12:00:00 AM";"00211";"Station Holendrecht";"4.95889207";"52.29707170";"50"
"9/28/2020 12:00:00 AM";"00238";"Anton de Komplein";"4.95413359";"52.31603659";"654"
"9/28/2020 12:00:00 AM";"00239";"Anton de Komplein";"4.95597669";"52.31652866";"406"
"9/28/2020 12:00:00 AM";"00250";"Station Diemen Zuid";"4.95668889";"52.33081280";"56"
"9/28/2020 12:00:00 AM";"00251";"Station Diemen Zuid";"4.95681979";"52.33093012";"82"
"9/28/2020 12:00:00 AM";"00252";"Tarwekamp";"4.95487876";"52.33290035";"13"
"9/28/2020 12:00:00 AM";"00253";"Tarwekamp";"4.95472987";"52.33312450";"22"
"9/28/2020 12:00:00 AM";"00257";"Kruidenommegang";"4.93939127";"52.32800734";"18"
"9/28/2020 12:00:00 AM";"00258";"Burg. van Damstraat";"4.94155946";"52.33414518";"20"
"9/28/2020 12:00:00 AM";"00259";"Burg. van Damstraat";"4.94174830";"52.33433463";"25"
"9/28/2020 12:00:00 AM";"00266";"Korenbloemstraat";"4.93994635";"52.32969914";"13"
"9/28/2020 12:00:00 AM";"00295";"Dalsteindreef";"4.94234237";"52.32482782";"16"
"9/28/2020 12:00:00 AM";"00296";"Dalsteindreef";"4.94241589";"52.32481012";"28"
"9/28/2020 12:00:00 AM";"00305";"Leusdenhof";"4.97849180";"52.30981383";"23"
"9/28/2020 12:00:00 AM";"00306";"Leusdenhof";"4.97837367";"52.30990330";"61"
"9/28/2020 12:00:00 AM";"00307";"Leerdamhof";"4.97402711";"52.30740757";"16"
"9/28/2020 12:00:00 AM";"00314";"Leerdamhof";"4.97526283";"52.30538963";"19"
"9/28/2020 12:00:00 AM";"00315";"Gaasperplas";"4.98507735";"52.31125647";"11"
"9/28/2020 12:00:00 AM";"00321";"Gaasperplas (uitstap)";"4.98513910";"52.31091514";"65"
"9/28/2020 12:00:00 AM";"00330";"Middenweg";"4.93455629";"52.35044932";"98"
"9/28/2020 12:00:00 AM";"00331";"Station Reigersbos";"4.97350466";"52.29737537";"65"
"9/28/2020 12:00:00 AM";"00333";"Schoonhovendreef";"4.97463519";"52.29402687";"51"
"9/28/2020 12:00:00 AM";"00335";"Scherpenzeelstraat";"4.97724033";"52.29287650";"31"
"9/28/2020 12:00:00 AM";"00336";"Schaarsbergenstraat";"4.98158109";"52.29265779";"14"
"9/28/2020 12:00:00 AM";"00337";"Schaarsbergenstraat";"4.98130170";"52.29275570";"30"
"9/28/2020 12:00:00 AM";"00338";"Staverdenplein";"4.98602093";"52.29282573";"13"
"9/28/2020 12:00:00 AM";"00339";"Staverdenplein";"4.98584439";"52.29289703";"39"
"9/28/2020 12:00:00 AM";"00341";"Woudrichemstraat";"4.98882309";"52.29418337";"31"
"9/28/2020 12:00:00 AM";"00343";"W. Gertenbachstraat";"4.98914971";"52.29863342";"33"
