iter	RMSE
412	280.5976175
413	280.5824288
414	280.5346568
415	280.5208702
416	280.4482675
417	280.3798053
418	280.1806992
419	280.1052698
420	280.076682
421	279.981545
422	279.9294004
423	279.7270924
424	279.702958
425	279.702422
426	279.6575694
427	279.6013408
428	279.4402992
429	279.4267304
430	279.3778308
431	279.3640121
432	279.3438233
433	279.279325
434	279.2226289
435	279.1876111
436	279.0832166
437	278.9594226
438	278.8777089
439	278.8568176
440	278.832484
441	278.7635907
442	278.6929623
443	278.6596125
444	278.5351612
445	278.4919439
446	278.4559322
447	278.3897863
448	278.3625771
449	278.3240532
450	278.3093916
451	278.2851312
452	278.2342074
453	278.1013671
454	278.0479966
455	277.9278468
456	277.8901175
457	277.8696426
458	277.860465
459	277.8024948
460	277.7643668
461	277.6322312
462	277.5896764
463	277.5622847
464	277.4482427
465	277.422245
466	277.3113776
467	277.1993798
468	277.1444056
469	277.0969864
470	276.9964912
471	276.9638116
472	276.9329262
473	276.8976312
474	276.8674418
475	276.8237306
476	276.811163
477	276.7988577
478	276.6973423
479	276.6714823
480	276.6221899
481	276.502298
482	276.3712998
483	276.3369838
484	276.2590754
485	276.1355577
486	276.0939967
487	276.0361113
488	275.985074
489	275.9132526
490	275.8130966
491	275.7796134
492	275.7117602
493	275.6273192
494	275.6076717
495	275.4502962
496	275.421701
497	275.3648892
498	275.2964396
499	275.2354526
500	275.2025868
501	275.1729764
502	275.1196944
503	275.0923123
504	275.0447956
505	275.0186509
506	274.91847
507	274.8768289
508	274.8252371
509	274.8107353
510	274.7524125
511	274.6953792
512	274.5790226
513	274.5577404
514	274.5235514
515	274.5049576
516	274.4754202
517	274.4531302
518	274.4249083
519	274.401432
520	274.3865436
521	274.3543346
522	274.3414067
523	274.3342564
524	274.2981368
525	274.2964243
526	274.2897839
527	274.2516705
528	274.2068951
529	274.1538472
530	274.1358038
531	274.0066948
532	273.9628348
533	273.9269978
534	273.7865775
535	273.7851307
536	273.7601997
537	273.7530591
538	273.7518501
539	273.7333841
540	273.6421358
541	273.5959037
542	273.5949501
543	273.4874957
544	273.4800342
545	273.4792147
546	273.3903013
547	273.3642914
548	273.266303
549	273.2654112
550	273.222297
551	273.2014618
552	273.1774591
553	273.1697404
554	273.154222
555	273.1108039
556	273.0561545
557	273.0353656
558	273.0343064
559	273.0054192
560	272.9653428
561	272.9015749
562	272.8812188
563	272.84487
564	272.7113007
565	272.6741204
566	272.6551023
567	272.5916438
568	272.569796
569	272.5578205
570	272.5093531
571	272.4771899
572	272.3192967
573	272.2563034
574	272.2457891
575	272.2340137
576	272.1980378
577	272.1453617
578	272.0978365
579	272.0618814
580	272.0158697
581	271.9463177
582	271.9192372
583	271.8912833
584	271.8342276
585	271.8010114
586	271.7801834
587	271.7654093
588	271.6411234
589	271.6099519
590	271.5095204
591	271.4822124
592	271.4485184
593	271.3600404
594	271.3130137
595	271.2952318
596	271.2868332
597	271.256184
598	271.1939975
599	271.1716099
600	271.098374
601	271.072641
602	271.0452478
603	270.8564922
604	270.8468372
605	270.8352893
606	270.7534613
607	270.7459809
608	270.7311352
609	270.6917601
610	270.6440518
611	270.6277124
612	270.6084958
613	270.5786621
614	270.5607811
615	270.5546705
616	270.5121972
617	270.4489308
618	270.411103
619	270.3364731
620	270.2510025
621	270.1693152
622	270.1455621
623	270.1358621
624	270.0876612
625	270.0758871
626	270.0260865
627	269.9978128
628	269.9767441
629	269.941426
630	269.8955646
631	269.8857035
632	269.8529696
633	269.8343729
634	269.7826872
635	269.735968
636	269.6785885
637	269.6376322
638	269.6124974
639	269.5578061
640	269.504219
641	269.4766807
642	269.4206302
643	269.3732349
644	269.3205327
645	269.3129172
646	269.2682357
647	269.2152352
648	269.2089517
649	269.2032861
650	269.1795067
651	269.1620514
652	269.1045243
653	269.0294392
654	268.9757372
655	268.900892
656	268.8945576
657	268.8474733
658	268.8359965
659	268.817387
660	268.8053876
661	268.7763554
662	268.7377128
663	268.6811636
664	268.6421456
665	268.615411
666	268.579547
667	268.5632709
668	268.5343872
669	268.5170468
670	268.4759177
671	268.4280304
672	268.3839784
673	268.3398629
674	268.2744298
675	268.2664649
676	268.1874421
677	268.1634471
678	268.1286151
679	268.1071477
680	268.0567547
681	268.0488138
682	268.0341902
683	268.0217717
684	267.9497797
685	267.9407157
686	267.9238276
687	267.9098367
688	267.8443048
689	267.8353582
690	267.7834135
691	267.7501548
692	267.7167951
693	267.6927048
694	267.5817055
695	267.5379514
696	267.4763032
697	267.431517
698	267.4110244
699	267.3699953
700	267.2972125
701	267.2704237
702	267.1959589
703	267.1610963
704	267.1006112
705	267.0888134
706	267.0843183
707	267.0139879
708	267.0021795
709	266.9620005
710	266.9370688
711	266.8474227
712	266.7947634
713	266.7858344
714	266.7315493
715	266.7022039
716	266.684431
717	266.669859
718	266.5962003
719	266.5918318
720	266.5783769
721	266.5352069
722	266.5058855
723	266.4656412
724	266.4396
725	266.4123696
726	266.366122
727	266.3226702
728	266.3032992
729	266.2615081
730	266.1791736
731	266.1630382
732	266.1520742
733	266.0711068
734	266.0592031
735	266.0103824
736	265.8377353
737	265.7585901
738	265.7341657
739	265.7196012
740	265.6661135
741	265.6262747
742	265.5851706
743	265.5538119
744	265.5370274
745	265.515297
746	265.4483824
747	265.4340537
748	265.4241042
749	265.4008951
750	265.3204283
751	265.2789914
752	265.1846367
753	265.1684997
754	265.1571536
755	265.1285424
756	265.0598738
757	264.9979188
758	264.9920153
759	264.8332706
760	264.8067766
761	264.7997272
762	264.7378751
763	264.7216499
764	264.6891308
765	264.6707081
766	264.6418108
767	264.6026222
768	264.5998339
769	264.5914714
770	264.5389431
771	264.500956
772	264.46965
773	264.4460735
774	264.3962446
775	264.3642276
776	264.294002
777	264.2694911
778	264.2178482
779	264.207192
780	264.1932545
781	264.1420626
782	264.0993403
783	264.0430045
784	263.9225714
785	263.9097901
786	263.8178251
787	263.7712852
788	263.7657273
789	263.7592644
790	263.7120828
791	263.6758499
792	263.6313526
793	263.6017294
794	263.5925223
795	263.5692106
796	263.5560816
797	263.5454672
798	263.519149
799	263.4667585
800	263.453263
801	263.4095487
802	263.3874306
803	263.3726438
804	263.3420536
805	263.3266164
806	263.3021163
807	263.2832435
808	263.27095
809	263.2488259
810	263.2412176
811	263.1703041
812	263.1559981
813	263.1379389
814	263.1074543
815	263.100088
816	263.0833411
817	263.0652692
818	263.0143262
819	262.9870329
820	262.9778825
821	262.9530437
822	262.8641737
823	262.8295091
824	262.7303567
825	262.665791
826	262.6241588
827	262.6137717
828	262.5981691
829	262.5693809
830	262.5440156
831	262.5261119
832	262.4721983
833	262.465549
834	262.4263043
835	262.4017587
836	262.3902867
837	262.377817
838	262.296738
839	262.1865531
840	262.1516458
841	262.1060004
842	262.0801031
843	262.0721655
844	262.0298312
845	262.0228956
846	262.0153232
847	262.0017686
848	261.9580881
849	261.9460937
850	261.9158218
851	261.8831771
852	261.8605092
853	261.843915
854	261.777258
855	261.7535705
856	261.7054676
857	261.6621182
858	261.6100593
859	261.5232868
860	261.4911777
861	261.430765
862	261.359007
863	261.3426671
864	261.2911691
865	261.2816613
866	261.2516588
867	261.2056391
868	261.1757472
869	261.1460248
870	261.0721959
871	261.0441718
872	261.0086296
873	260.9842738
874	260.955556
875	260.8912585
876	260.8853559
877	260.8685726
878	260.8235247
879	260.7983326
880	260.7784764
881	260.753723
882	260.6963234
883	260.6705995
884	260.6170713
885	260.6032491
886	260.5401056
887	260.494102
888	260.4477921
889	260.4281764
890	260.4002922
891	260.3686354
892	260.3374999
893	260.2842854
894	260.279496
895	260.2585906
896	260.2438813
897	260.2106078
898	260.1947715
899	260.1489012
900	260.1257894
901	260.1243813
902	260.1022655
903	260.0938483
904	260.0818402
905	260.0504193
906	260.0161256
907	259.978336
908	259.9650135
909	259.8863119
910	259.8508108
911	259.8451008
912	259.834297
913	259.8080228
914	259.7843233
915	259.7729004
916	259.7444543
917	259.6574718
918	259.6226081
919	259.5349722
920	259.5053624
921	259.4888505
922	259.4699424
923	259.4034824
924	259.3379381
925	259.3109042
926	259.2930488
927	259.2894618
928	259.2506426
929	259.2421347
930	259.2386784
931	259.2330928
932	259.2270268
933	259.208632
934	259.1665104
935	259.140464
936	259.1333881
937	259.1135393
938	259.1052271
939	259.096426
940	259.0603944
941	259.0411932
942	258.9923258
943	258.9677568
944	258.9380848
945	258.8863374
946	258.843557
947	258.7801362
948	258.7536874
949	258.7151817
950	258.6585585
951	258.6488774
952	258.6216258
953	258.586967
954	258.533071
955	258.5209693
956	258.4854153
957	258.468255
958	258.4643472
959	258.4455083
960	258.4003794
961	258.3523212
962	258.3476027
963	258.3390931
964	258.3126612
965	258.2923357
966	258.2590784
967	258.2394068
968	258.2100839
969	258.2021251
970	258.1563827
971	258.0832143
972	258.0636122
973	258.0175235
974	258.0066591
