"Location","Locationcode","Resono-ID","Start","End","Visits"
"Marnixbuurt Midden","16bcceb8-e25b-423c-9d28-a13e9f62ae28","rcd23001","2020-10-10T02:15:00+00:00","2020-10-10T02:29:59+00:00",76
"Marnixbuurt Midden","16bcceb8-e25b-423c-9d28-a13e9f62ae28","rcd23001","2020-10-10T02:30:00+00:00","2020-10-10T02:44:59+00:00",133
"Marnixbuurt Midden","16bcceb8-e25b-423c-9d28-a13e9f62ae28","rcd23001","2020-10-10T02:45:00+00:00","2020-10-10T02:59:59+00:00",79
"Marnixbuurt Midden","16bcceb8-e25b-423c-9d28-a13e9f62ae28","rcd23001","2020-10-10T03:00:00+00:00","2020-10-10T03:14:59+00:00",62
"Marnixbuurt Midden","16bcceb8-e25b-423c-9d28-a13e9f62ae28","rcd23001","2020-10-10T03:15:00+00:00","2020-10-10T03:29:59+00:00",60
"Marnixbuurt Midden","16bcceb8-e25b-423c-9d28-a13e9f62ae28","rcd23001","2020-10-10T03:30:00+00:00","2020-10-10T03:44:59+00:00",32
"Marnixbuurt Midden","16bcceb8-e25b-423c-9d28-a13e9f62ae28","rcd23001","2020-10-10T03:45:00+00:00","2020-10-10T03:59:59+00:00",24
"Marnixbuurt Midden","16bcceb8-e25b-423c-9d28-a13e9f62ae28","rcd23001","2020-10-10T04:00:00+00:00","2020-10-10T04:14:59+00:00",21
"Marnixbuurt Midden","16bcceb8-e25b-423c-9d28-a13e9f62ae28","rcd23001","2020-10-10T04:15:00+00:00","2020-10-10T04:29:59+00:00",19
"Marnixbuurt Midden","16bcceb8-e25b-423c-9d28-a13e9f62ae28","rcd23001","2020-10-10T04:30:00+00:00","2020-10-10T04:44:59+00:00",13
"Marnixbuurt Midden","16bcceb8-e25b-423c-9d28-a13e9f62ae28","rcd23001","2020-10-10T04:45:00+00:00","2020-10-10T04:59:59+00:00",10
"Marnixbuurt Midden","16bcceb8-e25b-423c-9d28-a13e9f62ae28","rcd23001","2020-10-10T05:00:00+00:00","2020-10-10T05:14:59+00:00",67
"Marnixbuurt Midden","16bcceb8-e25b-423c-9d28-a13e9f62ae28","rcd23001","2020-10-10T05:15:00+00:00","2020-10-10T05:29:59+00:00",52
"Marnixbuurt Midden","16bcceb8-e25b-423c-9d28-a13e9f62ae28","rcd23001","2020-10-10T05:30:00+00:00","2020-10-10T05:44:59+00:00",41
"Marnixbuurt Midden","16bcceb8-e25b-423c-9d28-a13e9f62ae28","rcd23001","2020-10-10T05:45:00+00:00","2020-10-10T05:59:59+00:00",40
"Planciusbuurt Noord","0f586a2f-da0b-4c9c-9df5-735be406a12f","rcd23002","2020-10-10T00:00:00+00:00","2020-10-10T00:14:59+00:00",79
"Planciusbuurt Noord","0f586a2f-da0b-4c9c-9df5-735be406a12f","rcd23002","2020-10-10T00:15:00+00:00","2020-10-10T00:29:59+00:00",64
"Planciusbuurt Noord","0f586a2f-da0b-4c9c-9df5-735be406a12f","rcd23002","2020-10-10T00:30:00+00:00","2020-10-10T00:44:59+00:00",49
"Planciusbuurt Noord","0f586a2f-da0b-4c9c-9df5-735be406a12f","rcd23002","2020-10-10T00:45:00+00:00","2020-10-10T00:59:59+00:00",46
"Planciusbuurt Noord","0f586a2f-da0b-4c9c-9df5-735be406a12f","rcd23002","2020-10-10T01:00:00+00:00","2020-10-10T01:14:59+00:00",15
"Planciusbuurt Noord","0f586a2f-da0b-4c9c-9df5-735be406a12f","rcd23002","2020-10-10T01:15:00+00:00","2020-10-10T01:29:59+00:00",15
"Planciusbuurt Noord","0f586a2f-da0b-4c9c-9df5-735be406a12f","rcd23002","2020-10-10T01:30:00+00:00","2020-10-10T01:44:59+00:00",13
"Planciusbuurt Noord","0f586a2f-da0b-4c9c-9df5-735be406a12f","rcd23002","2020-10-10T01:45:00+00:00","2020-10-10T01:59:59+00:00",13
"Planciusbuurt Noord","0f586a2f-da0b-4c9c-9df5-735be406a12f","rcd23002","2020-10-10T02:00:00+00:00","2020-10-10T02:14:59+00:00",6
"Planciusbuurt Noord","0f586a2f-da0b-4c9c-9df5-735be406a12f","rcd23002","2020-10-10T02:15:00+00:00","2020-10-10T02:29:59+00:00",6
"Planciusbuurt Noord","0f586a2f-da0b-4c9c-9df5-735be406a12f","rcd23002","2020-10-10T02:30:00+00:00","2020-10-10T02:44:59+00:00",5
"Planciusbuurt Noord","0f586a2f-da0b-4c9c-9df5-735be406a12f","rcd23002","2020-10-10T02:45:00+00:00","2020-10-10T02:59:59+00:00",5
"Planciusbuurt Noord","0f586a2f-da0b-4c9c-9df5-735be406a12f","rcd23002","2020-10-10T03:00:00+00:00","2020-10-10T03:14:59+00:00",3
"Planciusbuurt Noord","0f586a2f-da0b-4c9c-9df5-735be406a12f","rcd23002","2020-10-10T03:15:00+00:00","2020-10-10T03:29:59+00:00",3
"Planciusbuurt Noord","0f586a2f-da0b-4c9c-9df5-735be406a12f","rcd23002","2020-10-10T03:30:00+00:00","2020-10-10T03:44:59+00:00",3
"Planciusbuurt Noord","0f586a2f-da0b-4c9c-9df5-735be406a12f","rcd23002","2020-10-10T03:45:00+00:00","2020-10-10T03:59:59+00:00",3
"Planciusbuurt Noord","0f586a2f-da0b-4c9c-9df5-735be406a12f","rcd23002","2020-10-10T04:00:00+00:00","2020-10-10T04:14:59+00:00",59
"Planciusbuurt Noord","0f586a2f-da0b-4c9c-9df5-735be406a12f","rcd23002","2020-10-10T04:15:00+00:00","2020-10-10T04:29:59+00:00",44
"Planciusbuurt Noord","0f586a2f-da0b-4c9c-9df5-735be406a12f","rcd23002","2020-10-10T04:30:00+00:00","2020-10-10T04:44:59+00:00",34
"Planciusbuurt Noord","0f586a2f-da0b-4c9c-9df5-735be406a12f","rcd23002","2020-10-10T04:45:00+00:00","2020-10-10T04:59:59+00:00",34
"Planciusbuurt Noord","0f586a2f-da0b-4c9c-9df5-735be406a12f","rcd23002","2020-10-10T05:00:00+00:00","2020-10-10T05:14:59+00:00",8
"Planciusbuurt Noord","0f586a2f-da0b-4c9c-9df5-735be406a12f","rcd23002","2020-10-10T05:15:00+00:00","2020-10-10T05:29:59+00:00",8
"Planciusbuurt Noord","0f586a2f-da0b-4c9c-9df5-735be406a12f","rcd23002","2020-10-10T05:30:00+00:00","2020-10-10T05:44:59+00:00",8
"Planciusbuurt Noord","0f586a2f-da0b-4c9c-9df5-735be406a12f","rcd23002","2020-10-10T05:45:00+00:00","2020-10-10T05:59:59+00:00",8
