"Datum";"VertrekHalteCode";"VertrekHalteNaam";"VertrekLat";"VertrekLon";"AantalReizen"
"10/12/2020 12:00:00 AM";"00158";"Dolingadreef";"4.94901581";"52.31895674";"55"
"10/12/2020 12:00:00 AM";"00167";"Hogevecht";"4.95956435";"52.30947729";"16"
"10/12/2020 12:00:00 AM";"00168";"Hogevecht";"4.95997517";"52.30945181";"66"
"10/12/2020 12:00:00 AM";"00169";"Huigenbos";"4.96076438";"52.30666844";"19"
"10/12/2020 12:00:00 AM";"00170";"Huigenbos";"4.96083553";"52.30689339";"63"
"10/12/2020 12:00:00 AM";"00173";"Holendrechtplein";"4.96309454";"52.29910910";"148"
"10/12/2020 12:00:00 AM";"00174";"Maasdrielhof";"4.96548788";"52.30180501";"79"
"10/12/2020 12:00:00 AM";"00179";"Kelbergen";"4.97179997";"52.31351146";"64"
"10/12/2020 12:00:00 AM";"00180";"Kelbergen";"4.97143303";"52.31354612";"65"
"10/12/2020 12:00:00 AM";"00186";"Geinbrug";"5.01312849";"52.30442792";"18"
"10/12/2020 12:00:00 AM";"00197";"Annie Romeinplein";"4.97162041";"52.32173463";"96"
"10/12/2020 12:00:00 AM";"00198";"Annie Romeinplein";"4.96998049";"52.32143226";"207"
"10/12/2020 12:00:00 AM";"00199";"Station Ganzenhoef";"4.97329456";"52.32308866";"85"
"10/12/2020 12:00:00 AM";"00200";"Station Ganzenhoef";"4.97508507";"52.32297807";"85"
"10/12/2020 12:00:00 AM";"00205";"Station Holendrecht";"4.95865657";"52.29716971";"157"
"10/12/2020 12:00:00 AM";"00206";"Rhenenhof";"4.97003839";"52.29808222";"16"
"10/12/2020 12:00:00 AM";"00211";"Station Holendrecht";"4.95889207";"52.29707170";"58"
"10/12/2020 12:00:00 AM";"00235";"Station Reigersbos";"4.97374898";"52.29632465";"29"
"10/12/2020 12:00:00 AM";"00238";"Anton de Komplein";"4.95413359";"52.31603659";"309"
"10/12/2020 12:00:00 AM";"00239";"Anton de Komplein";"4.95597669";"52.31652866";"655"
"10/12/2020 12:00:00 AM";"00250";"Station Diemen Zuid";"4.95668889";"52.33081280";"54"
"10/12/2020 12:00:00 AM";"00251";"Station Diemen Zuid";"4.95681979";"52.33093012";"40"
"10/12/2020 12:00:00 AM";"00252";"Tarwekamp";"4.95487876";"52.33290035";"24"
"10/12/2020 12:00:00 AM";"00253";"Tarwekamp";"4.95472987";"52.33312450";"10"
"10/12/2020 12:00:00 AM";"00256";"Kruidenommegang";"4.93928931";"52.32793505";"11"
"10/12/2020 12:00:00 AM";"00257";"Kruidenommegang";"4.93939127";"52.32800734";"14"
"10/12/2020 12:00:00 AM";"00295";"Dalsteindreef";"4.94234237";"52.32482782";"21"
