,Datetime,Location,Visits,Date,Time,Journeys,Windspeed,Temperature,Clouds,Rain amount,Rain duration,Sun duration,Fog,Rain,Snow,Thunder,Ice,Holiday_Count,Year,Month,Day_x,Holiday_Name_Ascension Thursday,Holiday_Name_Easter,Holiday_Name_Fall holiday,Holiday_Name_Good Friday,Holiday_Name_Kings day,Holiday_Name_Liberation Day,Holiday_Name_May holiday,Holiday_Name_Spring holiday,Holiday_Name_Summer holiday,Holiday_Name_Whit,Holiday_Name_Winter holiday,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,stringency_index
688869,2021-12-19 00:00:00,Westergasfabriek,28.0,2021-12-19,00:00:00,10.11111111111111,4.0,6.4,8.0,0.0,0.0,0.0,0,0,0,0,0,0.0,2021,12,19,0,0,0,0,0,0,0,0,0,0,0,-68.0,-11.0,-20.0,-52.0,-13.0,6.0,63.89
688870,2021-12-19 00:00:00,Westerpark Centrum,25.0,2021-12-19,00:00:00,10.11111111111111,4.0,6.4,8.0,0.0,0.0,0.0,0,0,0,0,0,0.0,2021,12,19,0,0,0,0,0,0,0,0,0,0,0,-68.0,-11.0,-20.0,-52.0,-13.0,6.0,63.89
688871,2021-12-19 00:00:00,Westerpark Oost,37.0,2021-12-19,00:00:00,10.11111111111111,4.0,6.4,8.0,0.0,0.0,0.0,0,0,0,0,0,0.0,2021,12,19,0,0,0,0,0,0,0,0,0,0,0,-68.0,-11.0,-20.0,-52.0,-13.0,6.0,63.89
688872,2021-12-19 00:00:00,Westerpark West,30.0,2021-12-19,00:00:00,11.636363636363637,4.0,6.4,8.0,0.0,0.0,0.0,0,0,0,0,0,0.0,2021,12,19,0,0,0,0,0,0,0,0,0,0,0,-68.0,-11.0,-20.0,-52.0,-13.0,6.0,63.89
688873,2021-12-19 00:15:00,Amstelpark,25.0,2021-12-19,00:15:00,21.714285714285715,4.0,6.45,8.0,0.0,0.0,0.0,0,0,0,0,0,0.0,2021,12,19,0,0,0,0,0,0,0,0,0,0,0,-68.0,-11.0,-20.0,-52.0,-13.0,6.0,63.89
688874,2021-12-19 00:15:00,Beatrixpark,126.0,2021-12-19,00:15:00,153.57142857142858,4.0,6.45,8.0,0.0,0.0,0.0,0,0,0,0,0,0.0,2021,12,19,0,0,0,0,0,0,0,0,0,0,0,-68.0,-11.0,-20.0,-52.0,-13.0,6.0,63.89
688875,2021-12-19 00:15:00,Erasmuspark,97.0,2021-12-19,00:15:00,36.52777777777778,4.0,6.45,8.0,0.0,0.0,0.0,0,0,0,0,0,0.0,2021,12,19,0,0,0,0,0,0,0,0,0,0,0,-68.0,-11.0,-20.0,-52.0,-13.0,6.0,63.89
688876,2021-12-19 00:15:00,Flevopark,48.0,2021-12-19,00:15:00,36.708333333333336,4.0,6.45,8.0,0.0,0.0,0.0,0,0,0,0,0,0.0,2021,12,19,0,0,0,0,0,0,0,0,0,0,0,-68.0,-11.0,-20.0,-52.0,-13.0,6.0,63.89
688877,2021-12-19 00:15:00,Gaasperpark,38.0,2021-12-19,00:15:00,18.431818181818183,4.0,6.45,8.0,0.0,0.0,0.0,0,0,0,0,0,0.0,2021,12,19,0,0,0,0,0,0,0,0,0,0,0,-68.0,-11.0,-20.0,-52.0,-13.0,6.0,63.89
688878,2021-12-19 00:15:00,Nelson Mandelapark,38.0,2021-12-19,00:15:00,11.75,4.0,6.45,8.0,0.0,0.0,0.0,0,0,0,0,0,0.0,2021,12,19,0,0,0,0,0,0,0,0,0,0,0,-68.0,-11.0,-20.0,-52.0,-13.0,6.0,63.89
